ASSESSID,commonname,stocklong,scientificname,Years,TB,SSB,TN,R,TC,TL,F,ER,REGION,EW
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2006,902000,72000,,,,0,,0,N Atlantic,E
CAPENOR,Capelin,Capelin Barents Sea,Mallotus villosus,2007,,189000,,,,,,,N Atlantic,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1950,,,,,,1000,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1951,,,,,,800,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1952,,,,,,1400,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1953,,,,,,2000,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1954,,,,,,2100,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1955,,,,,,1300,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1956,,,,,,2100,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1957,,,,,,5100,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1958,,17554500,,,,5800,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1959,,17554500,,,,11600,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1960,,17554500,,,,6500,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1961,,17530500,,,,5600,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1962,,17150400,,,,9700,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1963,,16262100,,,,8900,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1964,,15251400,,,,12000,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1965,,14184800,,,,15300,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1966,,13080500,,,,21900,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1967,,11978200,,,,29500,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1968,,10906700,,,,26600,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1969,,9900310,,,,20800,,,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1970,12269600,8779740,,9.72E+12,,187857,,0.015310768,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1971,11800600,8028560,,1.19E+13,,195961,,0.01660602,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1972,11586200,7770390,,1.06E+13,,94016,,0.008114481,S Pacific,E
CHTRACCH,Chilean jack mackerel,Chilean jack mackerel Chilean EEZ and offshore,Trachurus murphyi,1973,11690900,7855750,,9.91E+12,,123447,,0.010559238,S Pacific,E
